timedate,weekday,context_num
2020-07-21,二,29
2020-07-22,三,12
2020-07-23,四,6
2020-07-27,一,24
2020-07-28,二,40
2020-07-29,三,57
2020-07-30,四,47
2020-07-31,五,9
2020-08-01,六,25
2020-08-03,一,77
2020-08-04,二,36
2020-08-05,三,63
2020-08-06,四,32
2020-08-07,五,38
2020-08-08,六,2
2020-08-10,一,10
2020-08-11,二,30
2020-08-12,三,35
2020-08-13,四,40
2020-08-14,五,18
2020-08-17,一,30
2020-08-18,二,26
2020-08-20,四,11
2020-08-21,五,47
2020-08-24,一,21
2020-08-25,二,56
2020-08-26,三,4
2020-08-27,四,39
2020-08-28,五,43
2020-08-31,一,61
2020-09-01,二,8
2020-09-02,三,37
2020-09-03,四,38
2020-09-04,五,132
2020-09-07,一,16
2020-09-08,二,13
2020-09-09,三,45
2020-09-10,四,62
2020-09-11,五,16
2020-09-15,二,24
2020-09-16,三,24
2020-09-17,四,15
2020-09-18,五,63
2020-09-19,六,3
2020-09-21,一,52
2020-09-22,二,1
2020-09-23,三,39
2020-09-24,四,34
2020-09-25,五,1
2020-09-28,一,10
2020-09-29,二,14
2020-09-30,三,30
